session_id,idx,time_ms,map_id,position_x,position_y,position_z
Analytics_Data_Attempt_1,0,10000,Cidades-Inteligentes-01-Superficie _Legado,-34.11,26.56,217.87
Analytics_Data_Attempt_1,2,58000,Cidades-Inteligentes-01-Superficie _Legado,-34.11,26.56,217.81
Analytics_Data_Attempt_1,32,59000,Cidades-Inteligentes-01-Superficie _Legado,-34.08,26.58,216.45
Analytics_Data_Attempt_1,67,68000,Cidades-Inteligentes-01-Superficie _Legado,-32.66,26.62,212.97
Analytics_Data_Attempt_1,138,69000,Cidades-Inteligentes-01-Superficie _Legado,-27.36,26.63,212.17
Analytics_Data_Attempt_1,210,70000,Cidades-Inteligentes-01-Superficie _Legado,-21.24,26.68,208.98
Analytics_Data_Attempt_1,289,71000,Cidades-Inteligentes-01-Superficie _Legado,-16.57,26.74,202.26
Analytics_Data_Attempt_1,350,72000,Cidades-Inteligentes-01-Superficie _Legado,-11.1,26.81,196.6
Analytics_Data_Attempt_1,431,73000,Cidades-Inteligentes-01-Superficie _Legado,-7.43,26.81,196.64
Analytics_Data_Attempt_1,496,74000,Cidades-Inteligentes-01-Superficie _Legado,-9.08,26.76,200.59
Analytics_Data_Attempt_1,576,75000,Cidades-Inteligentes-01-Superficie _Legado,-10.87,26.68,208.02
Analytics_Data_Attempt_1,606,76000,Cidades-Inteligentes-01-Superficie _Legado,-10.89,26.68,208.2
Analytics_Data_Attempt_1,611,77000,Cidades-Inteligentes-01-Superficie _Legado,-10.8,26.68,208.22
Analytics_Data_Attempt_1,665,78000,Cidades-Inteligentes-01-Superficie _Legado,-6.48,26.69,206.62
Analytics_Data_Attempt_1,748,79000,Cidades-Inteligentes-01-Superficie _Legado,-9.2,26.68,207.45
Analytics_Data_Attempt_1,803,80000,Cidades-Inteligentes-01-Superficie _Legado,-9.34,26.67,208.24
Analytics_Data_Attempt_1,846,81000,Cidades-Inteligentes-01-Superficie _Legado,-9.91,26.67,208.44
Analytics_Data_Attempt_1,902,82000,Cidades-Inteligentes-01-Superficie _Legado,-10.58,26.68,207.73
Analytics_Data_Attempt_1,982,83000,Cidades-Inteligentes-01-Superficie _Legado,-19.17,26.68,208.64
Analytics_Data_Attempt_1,1058,84000,Cidades-Inteligentes-01-Superficie _Legado,-26.6,26.9,207.48
Analytics_Data_Attempt_1,1138,85000,Cidades-Inteligentes-01-Superficie _Legado,-35.37,26.64,211.3
Analytics_Data_Attempt_1,1191,86000,Cidades-Inteligentes-01-Superficie _Legado,-37.36,26.59,215.59
Analytics_Data_Attempt_1,1230,90000,Cidades-Inteligentes-01-Superficie _Legado,-34.41,26.62,212.66
Analytics_Data_Attempt_1,1311,91000,Cidades-Inteligentes-01-Superficie _Legado,-24.54,26.68,211.28
Analytics_Data_Attempt_1,1391,92000,Cidades-Inteligentes-01-Superficie _Legado,-16.32,26.68,207.51
Analytics_Data_Attempt_1,1472,93000,Cidades-Inteligentes-01-Superficie _Legado,-8.12,26.72,203.93
Analytics_Data_Attempt_1,1553,94000,Cidades-Inteligentes-01-Superficie _Legado,-1.05,26.72,204.5
